idx,local_file,server_name,source_type,source_url,repository,source_path,query,object_hash
1,research/configs/sources/github-config-001-sendaifun-solana-mcp-agent-kit.mcp.json,agent-kit,github-config,https://github.com/sendaifun/solana-mcp/blob/096c2336e07f2a38f262cc9b7341d9795d5a364a/claude_desktop_config.json,sendaifun/solana-mcp,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,739351d04f20798506d3f5e94c7f1999f5568fab8b9f0fd0c2da00383039b436
2,research/configs/sources/github-config-002-pttg-it-sdp-mcp-service-desk-plus.mcp.json,service-desk-plus,github-config,https://github.com/PTTG-IT/SDP-MCP/blob/77aebc1744eb19b73fb0f99588615c8578e66296/claude_desktop_config.json,PTTG-IT/SDP-MCP,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,3582703c6b3ec9d548779c0ec18175a98a585875ff3e2a09efd5e05067230f6f
3,research/configs/sources/github-config-003-marsaeon-idea-filesystem.mcp.json,filesystem,github-config,https://github.com/MarsAeon/idea/blob/afa7446cc94bc5bff4ff8240046b8dd3dc1aae79/claude_desktop_config.json,MarsAeon/idea,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,e03d1ae8bfa328b6ef1d3a5f2f5cfdf1b2a7bf855e209f03e32fbbdc4e6ecc52
4,research/configs/sources/github-config-004-marsaeon-idea-memory.mcp.json,memory,github-config,https://github.com/MarsAeon/idea/blob/afa7446cc94bc5bff4ff8240046b8dd3dc1aae79/claude_desktop_config.json,MarsAeon/idea,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,924d3ef47b5815933ddf73bf339e7daae89b8e98598bc9024635a77551ab1f65
5,research/configs/sources/github-config-005-marsaeon-idea-git.mcp.json,git,github-config,https://github.com/MarsAeon/idea/blob/afa7446cc94bc5bff4ff8240046b8dd3dc1aae79/claude_desktop_config.json,MarsAeon/idea,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,4afe37c4398e38215dc72f14848ffb6c0e24daa4f5d225f57d799676162bdcf8
6,research/configs/sources/github-config-006-marsaeon-idea-time.mcp.json,time,github-config,https://github.com/MarsAeon/idea/blob/afa7446cc94bc5bff4ff8240046b8dd3dc1aae79/claude_desktop_config.json,MarsAeon/idea,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,f94b92e611b6127519f3dd0d3a20842fa2520ce733355459b4bd5da1c83c3b5c
7,research/configs/sources/github-config-007-luo-gary-bytebuddies-guess.mcp.json,guess,github-config,https://github.com/luo-gary/ByteBuddies/blob/86960dc72c9644007b805020b039627ea061e703/old/claude_desktop_config.json,luo-gary/ByteBuddies,old/claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,8d6f0fc9f84701a4596717b846f3f13219e031320ec8369184af6f11cbc2fb95
8,research/configs/sources/github-config-008-paul-sizon-zetachain-mcp-zetachain-mcp.mcp.json,zetachain-mcp,github-config,https://github.com/Paul-Sizon/zetachain-mcp/blob/0b846acde760d1d3359cdc883983b14c9812d1c8/claude_desktop_config.json,Paul-Sizon/zetachain-mcp,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,32e497f94357cb0f0b0bee287a86f95890ab3a3e80068d9ddb1bab6ab86dc814
9,research/configs/sources/github-config-009-stevengeller-youtube-transcrib-youtube-transcriber-enhanced.mcp.json,youtube-transcriber-enhanced,github-config,https://github.com/StevenGeller/youtube-transcriber-mcp/blob/dd0c8f59520544a5e8c0561313fc64622ce708f9/claude_desktop_config.json,StevenGeller/youtube-transcriber-mcp,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,6d60ccb76eb1d7a90fa14a47f6319214079354d52a3e88454fe8c87f56286841
10,research/configs/sources/github-config-010-angrysky56-ast-mcp-server-astanalyzer.mcp.json,AstAnalyzer,github-config,https://github.com/angrysky56/ast-mcp-server/blob/f7edf10eda9c96c89e40b49161aa072430746e12/claude_desktop_config.json,angrysky56/ast-mcp-server,claude_desktop_config.json,filename:claude_desktop_config.json mcpServers,77569275c5458dc8ea1f74214f4cfdce196869fc76c204273b06284d345b3a21
